language,height,ASL,ASL,ASL,ASL,BSL,BSL,BSL,BSL
dim,,50d,100d,200d,300d,50d,100d,200d,300d
0,0,,,,,,,,
1,1,1942,1943,1944,1945,1471,1476,,
2,2,1881,1934,1940,1941,1431,1461,1469,1472
3,3,1590,1858,1915,1932,1258,1415,1448,1462
4,4,980,1568,1831,1875,821,1225,1402,1429
5,5,580,1009,1607,1746,486,846,1266,1352
6,6,361,596,1175,1468,302,491,981,1185
7,7,241,381,742,1017,211,297,620,878
8,8,171,259,479,647,142,199,389,547
9,9,133,178,310,413,106,144,253,347
10,10,107,128,212,274,79,109,174,221
11,11,79,105,156,196,63,83,126,153
12,12,61,79,122,144,54,64,99,114
13,13,53,67,100,112,45,50,75,84
14,14,45,56,71,88,41,41,58,68
15,15,41,49,60,71,33,37,46,55
16,16,34,40,49,55,30,31,39,42
17,17,32,35,43,47,25,26,34,34
18,18,26,31,36,40,23,23,27,30
19,19,25,26,31,34,21,20,23,25
20,20,22,23,28,30,19,17,21,22
21,21,19,21,23,26,14,15,19,18
22,22,18,19,21,22,13,14,15,16
23,23,15,18,20,19,11,13,13,12
24,24,12,16,18,17,9,10,11,11
25,25,12,15,16,16,9,9,11,11
26,26,11,13,14,14,9,8,10,10
27,27,10,11,12,12,9,7,8,9
28,28,8,10,10,11,8,7,8,8
29,29,7,8,9,10,7,7,8,8
30,30,7,8,8,8,6,7,8,7
31,31,7,8,7,8,5,7,6,7
32,32,6,6,7,7,4,6,6,6
33,33,6,6,7,7,4,4,5,5
34,34,6,6,7,7,4,4,5,4
35,35,5,6,5,7,4,4,4,4
36,36,5,5,5,6,3,4,4,4
37,37,5,5,5,5,3,3,3,4
38,38,5,3,5,4,3,3,3,4
39,39,4,3,4,4,3,3,3,3
40,40,3,3,3,4,3,3,3,3
41,41,3,3,2,3,3,2,2,3
42,42,2,3,2,3,2,2,2,2
43,43,2,3,2,2,2,2,2,2
44,44,2,3,2,2,2,2,2,2
45,45,2,3,2,2,2,2,2,2
46,46,2,3,2,2,2,2,2,2
47,47,2,3,2,2,2,2,2,2
48,48,2,3,2,2,2,2,2,2
49,49,2,2,2,2,2,2,2,2
50,50,2,2,2,2,2,2,2,2
51,51,2,2,2,2,2,2,2,2
52,52,2,2,2,2,2,2,2,2
53,53,2,2,2,2,2,2,2,2
54,54,2,2,2,2,2,2,2,2
55,55,2,2,2,2,2,2,2,2
56,56,2,2,2,2,2,2,,2
57,57,2,2,2,2,2,2,,2
58,58,2,2,2,2,,,,2
59,59,2,2,2,2,,,,2
60,60,2,2,2,2,,,,
61,61,2,2,2,2,,,,
62,62,2,2,2,2,,,,
63,63,2,2,2,2,,,,
64,64,2,,2,2,,,,
65,65,2,,2,2,,,,
66,66,2,,2,2,,,,
67,67,2,,2,,,,,
68,68,2,,2,,,,,
69,69,2,,2,,,,,
70,70,,,2,,,,,
71,71,,,,,,,,
72,72,,,,,,,,
73,73,,,,,,,,
74,74,,,,,,,,
75,75,,,,,,,,
76,76,,,,,,,,
77,77,,,,,,,,
78,78,,,,,,,,
79,79,,,,,,,,
80,80,,,,,,,,
81,81,,,,,,,,
82,82,,,,,,,,
83,83,,,,,,,,
84,84,,,,,,,,
85,85,,,,,,,,
86,86,,,,,,,,
87,87,,,,,,,,
88,88,,,,,,,,
89,89,,,,,,,,
90,90,,,,,,,,
91,91,,,,,,,,
92,92,,,,,,,,
93,93,,,,,,,,
94,94,,,,,,,,
95,95,,,,,,,,
96,96,,,,,,,,
97,97,,,,,,,,
98,98,,,,,,,,
99,99,,,,,,,,
