language,dim,prune_height,cluster_N,silhouette_score
ASL,50d,1,1942,0.0021580861552790015
ASL,50d,2,1881,0.014411384310140203
ASL,50d,3,1590,0.049400256542920885
ASL,50d,4,980,0.08918298487591562
ASL,50d,5,580,0.08871534796518737
ASL,50d,6,361,0.07692959626695806
ASL,50d,7,241,0.06674791737574458
ASL,50d,8,171,0.053080031820052886
ASL,50d,9,133,0.0511903262975231
ASL,50d,10,107,0.04778811852221585
ASL,50d,11,79,0.038247777850904614
ASL,50d,12,61,0.03693978503105442
ASL,50d,13,53,0.03726143517787071
ASL,50d,14,45,0.03417456818153203
ASL,50d,15,41,0.03914574998978455
ASL,50d,16,34,0.03947622153262416
ASL,50d,17,32,0.03680980307898428
ASL,50d,18,26,0.028971016296921122
ASL,50d,19,25,0.027073179312238637
ASL,50d,20,22,0.024993581581321467
ASL,50d,21,19,0.02266042517882377
ASL,50d,22,18,0.020006049972969744
ASL,50d,23,15,0.01587099228632628
ASL,50d,24,12,0.00713310718994951
ASL,50d,25,12,0.00713310718994951
ASL,50d,26,11,0.0036941018616537926
ASL,50d,27,10,-0.0007652059401891961
ASL,50d,28,8,0.03410951059432465
ASL,50d,29,7,0.03599691824378814
ASL,50d,30,7,0.03599691824378814
ASL,50d,31,7,0.03599691824378814
ASL,50d,32,6,0.03890890845617828
ASL,50d,33,6,0.03890890845617828
ASL,50d,34,6,0.03890890845617828
ASL,50d,35,5,0.03405233474072389
ASL,50d,36,5,0.03405233474072389
ASL,50d,37,5,0.03405233474072389
ASL,50d,38,5,0.03405233474072389
ASL,50d,39,4,0.027932938975624686
ASL,50d,40,3,0.029338359885718302
ASL,50d,41,3,0.029338359885718302
ASL,50d,42,2,0.0689622374059265
ASL,50d,43,2,0.0689622374059265
ASL,50d,44,2,0.0689622374059265
ASL,50d,45,2,0.0689622374059265
ASL,50d,46,2,0.0689622374059265
ASL,50d,47,2,0.0689622374059265
ASL,50d,48,2,0.0689622374059265
ASL,50d,49,2,0.0689622374059265
ASL,50d,50,2,0.0689622374059265
ASL,50d,51,2,0.0689622374059265
ASL,50d,52,2,0.0689622374059265
ASL,50d,53,2,0.0689622374059265
ASL,50d,54,2,0.0689622374059265
ASL,50d,55,2,0.0689622374059265
ASL,50d,56,2,0.0689622374059265
ASL,50d,57,2,0.0689622374059265
ASL,50d,58,2,0.0689622374059265
ASL,50d,59,2,0.0689622374059265
ASL,50d,60,2,0.0689622374059265
ASL,50d,61,2,0.0689622374059265
ASL,50d,62,2,0.0689622374059265
ASL,50d,63,2,0.0689622374059265
ASL,50d,64,2,0.0689622374059265
ASL,50d,65,2,0.0689622374059265
ASL,50d,66,2,0.0689622374059265
ASL,50d,67,2,0.0689622374059265
ASL,50d,68,2,0.0689622374059265
ASL,50d,69,2,0.0689622374059265
ASL,100d,1,1943,0.0014262766762315633
ASL,100d,2,1934,0.005347786478010162
ASL,100d,3,1858,0.018532811687255703
ASL,100d,4,1568,0.04897856899574401
ASL,100d,5,1009,0.0816776868221857
ASL,100d,6,596,0.0787431934565571
ASL,100d,7,381,0.06946929747074058
ASL,100d,8,259,0.060177613156939674
ASL,100d,9,178,0.0477342581108375
ASL,100d,10,128,0.040548518599677424
ASL,100d,11,105,0.035966474750717146
ASL,100d,12,79,0.027440011014141015
ASL,100d,13,67,0.030084844292699336
ASL,100d,14,56,0.02419054291981194
ASL,100d,15,49,0.02065200522131798
ASL,100d,16,40,0.018206137982935057
ASL,100d,17,35,0.01328059449245487
ASL,100d,18,31,0.019720743590237164
ASL,100d,19,26,0.015744852934813678
ASL,100d,20,23,0.015489382935537001
ASL,100d,21,21,0.011309634231123248
ASL,100d,22,19,0.00762737819651878
ASL,100d,23,18,0.005086126625003769
ASL,100d,24,16,0.01840463640981592
ASL,100d,25,15,0.015377852467086998
ASL,100d,26,13,0.014271739606417155
ASL,100d,27,11,0.007820643602516815
ASL,100d,28,10,0.007990406878342288
ASL,100d,29,8,-1.3705311163173996e-05
ASL,100d,30,8,-1.3705311163173996e-05
ASL,100d,31,8,-1.3705311163173996e-05
ASL,100d,32,6,0.03381389752969017
ASL,100d,33,6,0.03381389752969017
ASL,100d,34,6,0.03381389752969017
ASL,100d,35,6,0.03381389752969017
ASL,100d,36,5,0.033828584648200315
ASL,100d,37,5,0.033828584648200315
ASL,100d,38,3,0.03411277007835943
ASL,100d,39,3,0.03411277007835943
ASL,100d,40,3,0.03411277007835943
ASL,100d,41,3,0.03411277007835943
ASL,100d,42,3,0.03411277007835943
ASL,100d,43,3,0.03411277007835943
ASL,100d,44,3,0.03411277007835943
ASL,100d,45,3,0.03411277007835943
ASL,100d,46,3,0.03411277007835943
ASL,100d,47,3,0.03411277007835943
ASL,100d,48,3,0.03411277007835943
ASL,100d,49,2,0.03382272839572837
ASL,100d,50,2,0.03382272839572837
ASL,100d,51,2,0.03382272839572837
ASL,100d,52,2,0.03382272839572837
ASL,100d,53,2,0.03382272839572837
ASL,100d,54,2,0.03382272839572837
ASL,100d,55,2,0.03382272839572837
ASL,100d,56,2,0.03382272839572837
ASL,100d,57,2,0.03382272839572837
ASL,100d,58,2,0.03382272839572837
ASL,100d,59,2,0.03382272839572837
ASL,100d,60,2,0.03382272839572837
ASL,100d,61,2,0.03382272839572837
ASL,100d,62,2,0.03382272839572837
ASL,100d,63,2,0.03382272839572837
ASL,200d,1,1944,0.00042117161793007936
ASL,200d,2,1940,0.002855584922578754
ASL,200d,3,1915,0.008291294951190735
ASL,200d,4,1831,0.017369684698034557
ASL,200d,5,1607,0.038197687494341125
ASL,200d,6,1175,0.061914973586031936
ASL,200d,7,742,0.06583206576980748
ASL,200d,8,479,0.0533236696456389
ASL,200d,9,310,0.03840152033348022
ASL,200d,10,212,0.030169533438256974
ASL,200d,11,156,0.01862396638376736
ASL,200d,12,122,0.010888805773358275
ASL,200d,13,100,0.004762242868116674
ASL,200d,14,71,0.01054361197739609
ASL,200d,15,60,0.0077484531405287264
ASL,200d,16,49,0.0018993318888533006
ASL,200d,17,43,-0.0016626994865432676
ASL,200d,18,36,-0.007175910550330273
ASL,200d,19,31,-0.006901965827265457
ASL,200d,20,28,-0.009985452357022234
ASL,200d,21,23,-0.016909452702241777
ASL,200d,22,21,-0.020151990169359448
ASL,200d,23,20,-0.016142241071549372
ASL,200d,24,18,-0.020167270131321902
ASL,200d,25,16,-0.006904647487051565
ASL,200d,26,14,-0.010003689099956432
ASL,200d,27,12,-0.014992884584657105
ASL,200d,28,10,-0.020025956134797174
ASL,200d,29,9,0.011373152164837409
ASL,200d,30,8,0.008863544619350695
ASL,200d,31,7,0.00690773452503721
ASL,200d,32,7,0.00690773452503721
ASL,200d,33,7,0.00690773452503721
ASL,200d,34,7,0.00690773452503721
ASL,200d,35,5,0.025390519160196613
ASL,200d,36,5,0.025390519160196613
ASL,200d,37,5,0.025390519160196613
ASL,200d,38,5,0.025390519160196613
ASL,200d,39,4,0.027553700699895555
ASL,200d,40,3,0.04661660559979622
ASL,200d,41,2,0.048320126864539056
ASL,200d,42,2,0.048320126864539056
