phonType,semDimension,language,pearson_r,p-value
ENTIRE,300d,BSL,0.043073292815360986,0.0
HS,300d,BSL,0.0353931430537747,2.7395489207042066e-300
LOC,300d,BSL,0.037005142436884804,0.0
MOV,300d,BSL,0.014793668480397471,4.9270076583438516e-54
MOV,300d,ASL,0.03787132917447246,0.0
HS,300d,ASL,0.05223248642674829,0.0
LOC,300d,ASL,0.0665905460060345,0.0
ENTIRE,300d,ASL,0.07447912016493419,0.0
ENTIRE,50d,BSL,0.04336453882979169,0.0
HS,50d,BSL,0.03724665912337728,0.0
LOC,50d,BSL,0.036280992462999914,1.92257331e-315
MOV,50d,BSL,0.013090600849796455,1.0802614146953211e-42
ENTIRE,200d,BSL,0.04684969969125863,0.0
HS,200d,BSL,0.03898324545989017,0.0
LOC,200d,BSL,0.039902409399854295,0.0
MOV,200d,BSL,0.016460180885745034,1.8412251767908702e-66
MOV,200d,ASL,0.039278563883013644,0.0
HS,200d,ASL,0.057491081911080974,0.0
LOC,200d,ASL,0.07554712308757504,0.0
ENTIRE,200d,ASL,0.08263794954160655,0.0
MOV,50d,ASL,0.0395760966558611,0.0
HS,50d,ASL,0.053321452952016325,0.0
LOC,50d,ASL,0.06922660853631664,0.0
ENTIRE,50d,ASL,0.07680778401931529,0.0
ENTIRE,100d,BSL,0.044101813305217036,0.0
HS,100d,BSL,0.03866589860139744,0.0
LOC,100d,BSL,0.03643847058721718,3.60414e-318
MOV,100d,BSL,0.01362165766901214,4.41032187799961e-46
MOV,100d,ASL,0.03765834338847841,0.0
HS,100d,ASL,0.057270527577134425,0.0
LOC,100d,ASL,0.07285081464777399,0.0
ENTIRE,100d,ASL,0.0806929004062637,0.0
