phonType,semDimension,language,pearson_r,p-value
ENTIRE,300d,BSL,0.043063677627719774,0.0
HS,300d,BSL,0.0353930843864493,2.7457941438714645e-300
LOC,300d,BSL,0.03700811218026024,0.0
MOV,300d,BSL,0.0147936684804005,4.927007658055942e-54
MOV,300d,ASL,0.0378713291744852,0.0
HS,300d,ASL,0.05223287198908287,0.0
LOC,300d,ASL,0.06657555790381019,0.0
ENTIRE,300d,ASL,0.07451051901500337,0.0
ENTIRE,50d,BSL,0.043342825469995884,0.0
HS,50d,BSL,0.03724679455219734,0.0
LOC,50d,BSL,0.036285803541697144,1.587609153e-315
MOV,50d,BSL,0.013090600849799287,1.080261414632242e-42
ENTIRE,200d,BSL,0.04684233544349971,0.0
HS,200d,BSL,0.03898310665987213,0.0
LOC,200d,BSL,0.039907736744351704,0.0
MOV,200d,BSL,0.016460180885748694,1.8412251770049032e-66
MOV,200d,ASL,0.03927856388302632,0.0
HS,200d,ASL,0.05749145784274081,0.0
LOC,200d,ASL,0.07552992428162213,0.0
ENTIRE,200d,ASL,0.08267015440319969,0.0
MOV,50d,ASL,0.03957609665587375,0.0
HS,50d,ASL,0.05332181302981044,0.0
LOC,50d,ASL,0.0692111261257893,0.0
ENTIRE,50d,ASL,0.07683350008995543,0.0
ENTIRE,100d,BSL,0.0440966790174857,0.0
HS,100d,BSL,0.038665911448003916,0.0
LOC,100d,BSL,0.036442732304625906,3.03974e-318
MOV,100d,BSL,0.013621657669015106,4.410321877742331e-46
MOV,100d,ASL,0.03765834338849035,0.0
HS,100d,ASL,0.05727081733670175,0.0
LOC,100d,ASL,0.07283512642044923,0.0
ENTIRE,100d,ASL,0.0807218733674643,0.0
